product,entry_open,sl,tp,rr,nc,R,sl_over_R,sl_usd,tp_net_usd,n,tp_n,sl_n,flat_n,wr_cond,flat_share,ev_trade,wr_h1,wr_h2,combine_pass,p10,p25,p50,p75,p90,mean,p_ge1_payout_1y,xfa_p_ge1_payout,xfa_avg_days,xfa_mean_payout,skipped
MCL,510,96,32,0.33,23,128.0000000000001,0.7499999999999993,2242.96,701.04,516.0,338.0,100.0,78.0,0.771689497716895,0.1511627906976744,-84.43674418605099,0.7477477477477478,0.7962962962962963,0.3893,1773.7829999999046,4174.154999999852,7663.398749999811,11974.406624999734,16610.202674999637,8576.842601854609,1.0,0.74042,10.82888,997.361961247303,
MCL,510,96,24,0.25,23,128.0000000000001,0.7499999999999993,2242.96,517.04,516.0,371.0,86.0,59.0,0.811816192560175,0.11434108527131782,-86.39798449612664,0.7903930131004366,0.8333333333333334,0.3623,-33.76169999998876,1846.905749999944,4495.2119999999295,7883.892562499865,11638.916549999805,5261.6464111873,0.99985,0.81644,10.59902,757.4805663221595,
MCL,510,96,17,0.18,23,128.0000000000001,0.7499999999999993,2242.96,356.04,516.0,408.0,70.0,38.0,0.8535564853556485,0.07364341085271318,-86.17511627906511,0.8388429752066116,0.8686440677966102,0.32606,-1060.1504999999263,384.6060000000398,2353.693500000062,4958.710875000132,7827.398381250176,2951.632504297776,0.9995,0.88702,10.76538,572.201721329598,
MCL,510,128,128,1.0,17,128.0000000000001,0.9999999999999991,2201.84,2150.16,516.0,89.0,94.0,333.0,0.48633879781420764,0.6453488372093024,-54.00860465116273,0.4794520547945205,0.4909090909090909,0.3955,4367.2166999999945,7825.567499999985,12852.020249999961,19539.838124999995,26856.34830000006,14504.164105320271,0.99945,0.5283,12.60104,1470.9202010492,
MCL,510,128,86,0.67,17,128.0000000000001,0.9999999999999991,2201.84,1436.16,516.0,162.0,90.0,264.0,0.6428571428571429,0.5116279069767442,-63.002790697674975,0.6607142857142857,0.6285714285714286,0.40023,3760.8624000000104,6783.981749999973,11326.016249999964,17193.65231249999,23667.944850000003,12716.661537675416,0.9996,0.58268,12.56088,1349.851638541726,
MCL,510,128,55,0.43,17,128.0000000000001,0.9999999999999991,2201.84,909.16,516.0,249.0,71.0,196.0,0.778125,0.3798449612403101,-50.74697674418853,0.7908496732026143,0.7664670658682635,0.43315,2445.6437999999384,5129.095499999893,8950.461749999886,13733.968499999857,18969.454462499827,10000.946779566824,1.0,0.70974,12.8729,1170.159304309461,
MCL,510,128,42,0.33,17,128.0000000000001,0.9999999999999991,2201.84,688.16,516.0,300.0,65.0,151.0,0.821917808219178,0.2926356589147287,-47.155891472866735,0.850828729281768,0.7934782608695652,0.43798,1430.0527500000276,3679.707375000049,7100.041500000067,11340.38868750006,16002.211668750106,8036.963018837215,0.9999,0.7858,12.54408,1020.8547394834663,
MCL,510,128,32,0.25,17,128.0000000000001,0.9999999999999991,2201.84,518.16,516.0,350.0,59.0,107.0,0.8557457212713936,0.20736434108527133,-45.80511627907527,0.8673469387755102,0.8450704225352113,0.43846,418.8221999998871,2534.9804999998064,5434.636499999827,9126.42489843718,13059.871896093373,6233.570332354909,1.0,0.84822,11.92802,869.7463448796739,
MCL,510,128,23,0.18,17,128.0000000000001,0.9999999999999991,2201.84,365.16,516.0,386.0,51.0,79.0,0.8832951945080092,0.15310077519379844,-61.84968992247865,0.8909952606635071,0.8761061946902655,0.38998,-916.6382999999636,601.232625000019,2717.3373750000783,5403.8117812500905,8251.819284375137,3280.9957486733906,0.9998,0.89992,11.38404,590.1392798214371,
MCL,510,192,192,1.0,11,128.0000000000001,1.4999999999999987,2128.72,2095.28,516.0,43.0,48.0,425.0,0.4725274725274725,0.8236434108527132,-49.25100775193794,0.42857142857142855,0.4857142857142857,0.40529,1230.2730000000047,3529.5975000000176,6967.694250000013,11746.241718749989,17120.596556250042,8287.047481299613,0.99945,0.65256,15.20426,1136.5113185006844,
