sl_ticks,tp_ticks,rr,max_holding_bars,direction,nc,trades_per_day,wr_used_mid_bracket,wr_bracket_width,pass_rate_15d,blow_rate,avg_days_to_pass,combines_por_ano,costo_esperado_por_combine
50,15,0.3,130,always_long,40,2,0.7616,0.0116,0.5883,0.4118,3.96,37.43,83.3
50,15,0.3,30,alternate,40,2,0.7613,0.0112,0.5873,0.4128,3.96,37.36,83.44
50,15,0.3,30,alternate,30,2,0.7613,0.0112,0.5873,0.4128,3.96,37.36,83.44
50,15,0.3,45,always_long,30,2,0.7612,0.0116,0.5871,0.4129,3.96,37.35,83.46
50,15,0.3,45,always_long,40,2,0.7612,0.0116,0.5871,0.4129,3.96,37.35,83.46
50,20,0.4,100,alternate,40,1,0.713,0.0087,0.7288,0.2712,4.92,37.31,67.24
50,20,0.4,130,alternate,40,1,0.7129,0.0087,0.7285,0.2715,4.92,37.29,67.26
50,20,0.4,66,alternate,40,1,0.7129,0.0087,0.7282,0.2717,4.92,37.28,67.28
40,12,0.3,100,always_long,50,2,0.7604,0.023,0.5856,0.4144,3.96,37.24,83.67
40,12,0.3,100,always_long,40,2,0.7604,0.023,0.5856,0.4144,3.96,37.24,83.67
40,12,0.3,66,always_long,50,2,0.7605,0.023,0.5856,0.4144,3.96,37.24,83.67
40,12,0.3,66,always_long,40,2,0.7605,0.023,0.5856,0.4144,3.96,37.24,83.67
40,12,0.3,130,always_long,40,2,0.7604,0.023,0.5855,0.4145,3.96,37.23,83.69
40,12,0.3,130,always_long,50,2,0.7604,0.023,0.5855,0.4145,3.96,37.23,83.69
40,12,0.3,45,always_long,40,2,0.7604,0.0229,0.5854,0.4146,3.96,37.22,83.71
40,12,0.3,45,always_long,50,2,0.7604,0.0229,0.5854,0.4146,3.96,37.22,83.71
50,20,0.4,45,alternate,40,1,0.7106,0.0087,0.7241,0.2759,4.93,37.04,67.67
40,12,0.3,30,always_long,40,2,0.7594,0.0229,0.5826,0.4174,3.97,37.03,84.1
40,12,0.3,30,always_long,50,2,0.7594,0.0229,0.5826,0.4174,3.97,37.03,84.1
50,12,0.24,130,always_short,50,1,0.8084,0.0125,0.8568,0.1432,5.84,37.0,57.19
50,12,0.24,66,always_short,50,1,0.8083,0.0125,0.8565,0.1435,5.84,36.99,57.21
50,12,0.24,100,always_short,50,1,0.8083,0.0125,0.8565,0.1435,5.84,36.99,57.21
50,12,0.24,45,always_short,50,1,0.8069,0.0125,0.8544,0.1456,5.84,36.87,57.35
50,15,0.3,30,always_long,30,2,0.7579,0.0116,0.5787,0.4213,3.97,36.77,84.67
50,15,0.3,30,always_long,40,2,0.7579,0.0116,0.5787,0.4213,3.97,36.77,84.67
50,20,0.4,66,always_long,40,1,0.7076,0.0085,0.7177,0.2823,4.94,36.64,68.27
50,20,0.4,100,always_long,40,1,0.7076,0.0085,0.7177,0.2823,4.94,36.64,68.27
50,20,0.4,130,always_long,40,1,0.7074,0.0085,0.7173,0.2828,4.94,36.62,68.32
50,12,0.24,100,alternate,50,1,0.8034,0.0134,0.8488,0.1512,5.85,36.56,57.73
50,12,0.24,130,alternate,50,1,0.8034,0.0134,0.8486,0.1514,5.85,36.55,57.74
50,12,0.24,66,alternate,50,1,0.8034,0.0134,0.8488,0.1512,5.85,36.55,57.73
50,20,0.4,45,always_long,40,1,0.7065,0.0085,0.716,0.284,4.94,36.53,68.44
50,12,0.24,45,alternate,50,1,0.8026,0.0134,0.8474,0.1526,5.85,36.48,57.83
50,20,0.4,30,always_short,40,1,0.7059,0.0089,0.7149,0.2851,4.94,36.47,68.54
50,12,0.24,30,always_short,50,1,0.8021,0.0125,0.8465,0.1535,5.86,36.43,57.89
50,20,0.4,30,alternate,40,1,0.7029,0.0087,0.7094,0.2906,4.95,36.13,69.07
50,12,0.24,30,alternate,50,1,0.7992,0.0133,0.8413,0.1588,5.87,36.12,58.25
50,12,0.24,100,always_long,50,1,0.7985,0.0143,0.8405,0.1595,5.87,36.07,58.3
50,12,0.24,66,always_long,50,1,0.7985,0.0143,0.8405,0.1595,5.87,36.07,58.3
50,12,0.24,130,always_long,50,1,0.7984,0.0144,0.8401,0.1599,5.87,36.06,58.32
50,12,0.24,45,always_long,50,1,0.7984,0.0143,0.8401,0.1599,5.87,36.05,58.32
30,12,0.4,130,always_short,40,2,0.7153,0.0387,0.6524,0.3476,4.57,35.99,75.11
30,12,0.4,100,always_short,40,2,0.7152,0.0387,0.6521,0.3479,4.57,35.98,75.14
30,12,0.4,66,always_short,40,2,0.7151,0.0386,0.652,0.348,4.57,35.96,75.15
30,12,0.4,45,always_short,40,2,0.715,0.0386,0.6518,0.3483,4.57,35.94,75.18
